UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
root         1     0     1  0    1 18:20 ?        00:00:01 /sbin/init splash
root         2     0     2  0    1 18:20 ?        00:00:00 [kthreadd]
root         4     2     4  0    1 18:20 ?        00:00:00 [kworker/0:0H]
root         6     2     6  0    1 18:20 ?        00:00:00 [ksoftirqd/0]
root         7     2     7  0    1 18:20 ?        00:00:00 [rcu_sched]
root         8     2     8  0    1 18:20 ?        00:00:00 [rcu_bh]
root         9     2     9  0    1 18:20 ?        00:00:00 [migration/0]
root        10     2    10  0    1 18:20 ?        00:00:00 [lru-add-drain]
root        11     2    11  0    1 18:20 ?        00:00:00 [watchdog/0]
root        12     2    12  0    1 18:20 ?        00:00:00 [cpuhp/0]
root        13     2    13  0    1 18:20 ?        00:00:00 [kdevtmpfs]
root        14     2    14  0    1 18:20 ?        00:00:00 [netns]
root        15     2    15  0    1 18:20 ?        00:00:00 [khungtaskd]
root        16     2    16  0    1 18:20 ?        00:00:00 [oom_reaper]
root        17     2    17  0    1 18:20 ?        00:00:00 [writeback]
root        18     2    18  0    1 18:20 ?        00:00:00 [kcompactd0]
root        19     2    19  0    1 18:20 ?        00:00:00 [ksmd]
root        20     2    20  0    1 18:20 ?        00:00:00 [khugepaged]
root        21     2    21  0    1 18:20 ?        00:00:00 [crypto]
root        22     2    22  0    1 18:20 ?        00:00:00 [kintegrityd]
root        23     2    23  0    1 18:20 ?        00:00:00 [bioset]
root        24     2    24  0    1 18:20 ?        00:00:00 [kblockd]
root        25     2    25  0    1 18:20 ?        00:00:00 [ata_sff]
root        26     2    26  0    1 18:20 ?        00:00:00 [md]
root        27     2    27  0    1 18:20 ?        00:00:00 [devfreq_wq]
root        28     2    28  0    1 18:20 ?        00:00:00 [watchdogd]
root        32     2    32  0    1 18:20 ?        00:00:00 [kauditd]
root        33     2    33  0    1 18:20 ?        00:00:00 [kswapd0]
root        34     2    34  0    1 18:20 ?        00:00:00 [vmstat]
root        35     2    35  0    1 18:20 ?        00:00:00 [bioset]
root        36     2    36  0    1 18:20 ?        00:00:00 [ecryptfs-kthrea]
root        76     2    76  0    1 18:20 ?        00:00:00 [kthrotld]
root        77     2    77  0    1 18:20 ?        00:00:00 [acpi_thermal_pm]
root        78     2    78  0    1 18:20 ?        00:00:00 [bioset]
root        79     2    79  0    1 18:20 ?        00:00:00 [bioset]
root        80     2    80  0    1 18:20 ?        00:00:00 [bioset]
root        81     2    81  0    1 18:20 ?        00:00:00 [bioset]
root        82     2    82  0    1 18:20 ?        00:00:00 [bioset]
root        83     2    83  0    1 18:20 ?        00:00:00 [bioset]
root        84     2    84  0    1 18:20 ?        00:00:00 [bioset]
root        85     2    85  0    1 18:20 ?        00:00:00 [bioset]
root        86     2    86  0    1 18:20 ?        00:00:00 [scsi_eh_0]
root        87     2    87  0    1 18:20 ?        00:00:00 [scsi_tmf_0]
root        88     2    88  0    1 18:20 ?        00:00:00 [scsi_eh_1]
root        89     2    89  0    1 18:20 ?        00:00:00 [scsi_tmf_1]
root        95     2    95  0    1 18:20 ?        00:00:00 [ipv6_addrconf]
root       116     2   116  0    1 18:20 ?        00:00:00 [charger_manager]
root       117     2   117  0    1 18:20 ?        00:00:00 [bioset]
root       166     2   166  0    1 18:20 ?        00:00:00 [kworker/0:1H]
root       167     2   167  0    1 18:20 ?        00:00:00 [scsi_eh_2]
